periode_data,wilayah,kecamatan,kelurahan,jenis_kelamin,jumlah_penduduk,rasio_jenis_kelamin,jumlah_kepadatan
2023,JAKARTA BARAT,TAMBORA,DURI SELATAN,Perempuan,8634,99.35,44878.59
2023,JAKARTA BARAT,KEBON JERUK,KEBON JERUK,Perempuan,35008,99.72,18966.16
2023,JAKARTA BARAT,KEBON JERUK,SUKABUMI UTARA,Perempuan,24926,99.61,31602.03
2023,JAKARTA BARAT,KEBON JERUK,SUKABUMI SELATAN,Perempuan,23764,101.92,28629.35
2023,JAKARTA BARAT,KEBON JERUK,KELAPA DUA,Perempuan,15049,99.85,21090.21
2023,JAKARTA BARAT,KEBON JERUK,DURI KEPA,Perempuan,37516,98.16,20302.23
2023,JAKARTA BARAT,KEBON JERUK,KEDOYA UTARA,Perempuan,28810,100.52,18088.52
2023,JAKARTA BARAT,KEBON JERUK,KEDOYA SELATAN,Perempuan,20189,100.32,16608.64
2023,JAKARTA BARAT,KALI DERES,KALIDERES,Perempuan,46289,101.96,16571.57
2023,JAKARTA BARAT,KALI DERES,SEMANAN,Perempuan,46172,103.61,17546.13
2023,JAKARTA BARAT,KALI DERES,TEGAL ALUR,Perempuan,54108,101.13,19468.88
2023,JAKARTA BARAT,KALI DERES,KAMAL,Perempuan,35557,103.15,14851.62
2023,JAKARTA BARAT,KALI DERES,PEGADUNGAN,Perempuan,49836,99.57,13221.04
2023,JAKARTA BARAT,PALMERAH,PALMERAH,Perempuan,38949,101.78,35647.75
2023,JAKARTA BARAT,PALMERAH,SLIPI,Perempuan,10194,101.74,21091.13
2023,JAKARTA BARAT,PALMERAH,KOTA BAMBU UTARA,Perempuan,15661,101.85,47454.42
2023,JAKARTA BARAT,PALMERAH,JATIPULO,Perempuan,17685,101.79,42733.22
2023,JAKARTA BARAT,PALMERAH,KEMANGGISAN,Perempuan,19509,100.27,18595.69
2023,JAKARTA BARAT,PALMERAH,KOTA BAMBU SELATAN,Perempuan,13941,102.71,48355.52
2023,JAKARTA BARAT,KEMBANGAN,KEMBANGAN UTARA,Perempuan,34797,101.93,16791.84
2023,JAKARTA BARAT,KEMBANGAN,MERUYA UTARA,Perempuan,28243,99.84,13880.3
2023,JAKARTA BARAT,KEMBANGAN,MERUYA SELATAN,Perempuan,21224,100.03,13178.98
2023,JAKARTA BARAT,KEMBANGAN,SRENGSENG,Perempuan,29593,99.56,12947.51
2023,JAKARTA BARAT,KEMBANGAN,JOGLO,Perempuan,26569,99.02,12075.91
2023,JAKARTA BARAT,KEMBANGAN,KEMBANGAN SELATAN,Perempuan,17420,98.66,7668.32
2023,JAKARTA SELATAN,TEBET,TEBET TIMUR,Perempuan,11117,92.7,16271.5
2023,JAKARTA SELATAN,TEBET,TEBET BARAT,Perempuan,13166,94.29,15578.03
2023,JAKARTA SELATAN,TEBET,MENTENG DALAM,Perempuan,22346,98.95,18350.35
2023,JAKARTA SELATAN,TEBET,KEBON BARU,Perempuan,21671,99.76,34058.75
2023,JAKARTA SELATAN,TEBET,BUKIT DURI,Perempuan,20988,100.61,39257.53
2023,JAKARTA SELATAN,TEBET,MANGGARAI SELATAN,Perempuan,14138,99.21,50483.16
2023,JAKARTA SELATAN,TEBET,MANGGARAI,Perempuan,17640,100.6,33230.72
2023,JAKARTA SELATAN,SETIA BUDI,SETIA BUDI,Perempuan,1756,100.17,5227.45
2023,JAKARTA SELATAN,SETIA BUDI,KARET SEMANGGI,Perempuan,1696,101.12,3772.56
2023,JAKARTA SELATAN,SETIA BUDI,KARET KUNINGAN,Perempuan,9842,99.32,11523.35
2023,JAKARTA SELATAN,SETIA BUDI,KARET,Perempuan,5676,100.63,11487.52
2023,JAKARTA SELATAN,SETIA BUDI,MENTENG ATAS,Perempuan,17115,98.21,32497.99
2023,JAKARTA SELATAN,SETIA BUDI,PASAR MANGGIS,Perempuan,16529,101.66,42834.16
2023,JAKARTA SELATAN,SETIA BUDI,GUNTUR,Perempuan,2330,93.61,6869.92
2023,JAKARTA SELATAN,SETIA BUDI,KUNINGAN TIMUR,Perempuan,3599,100.53,3321.98
2023,JAKARTA SELATAN,MAMPANG PRAPATAN,MAMPANG PRAPATAN,Perempuan,11416,100.69,28600.43
2023,JAKARTA SELATAN,MAMPANG PRAPATAN,BANGKA,Perempuan,13258,101.4,8402.25
2023,JAKARTA SELATAN,MAMPANG PRAPATAN,PELA MAMPANG,Perempuan,26547,100.92,27518.71
2023,JAKARTA SELATAN,MAMPANG PRAPATAN,TEGAL PARANG,Perempuan,20036,101.94,38603.29
2023,JAKARTA SELATAN,MAMPANG PRAPATAN,KUNINGAN BARAT,Perempuan,7767,103.54,16150.41
2023,JAKARTA SELATAN,PASAR MINGGU,PASAR MINGGU,Perempuan,15448,98.49,15837.88
2023,JAKARTA SELATAN,PASAR MINGGU,JATI PADANG,Perempuan,23399,98.26,19357.53
2023,JAKARTA SELATAN,PASAR MINGGU,CILANDAK TIMUR,Perempuan,15026,106.43,8091.88
2023,JAKARTA SELATAN,PASAR MINGGU,RAGUNAN,Perempuan,24653,100.69,10367.1
2023,JAKARTA SELATAN,PASAR MINGGU,PEJATEN TIMUR,Perempuan,36505,100.39,24922.35
2023,JAKARTA SELATAN,PASAR MINGGU,PEJATEN BARAT,Perempuan,23321,98.58,15650.95
2023,JAKARTA SELATAN,PASAR MINGGU,KEBAGUSAN,Perempuan,28961,100.88,20907.55
2023,JAKARTA SELATAN,KEBAYORAN LAMA,KEBAYORAN LAMA UTARA,Perempuan,26636,100.96,23108.78
2023,JAKARTA SELATAN,KEBAYORAN LAMA,PONDOK PINANG,Perempuan,35800,97.47,10412.77
2023,JAKARTA SELATAN,KEBAYORAN LAMA,CIPULIR,Perempuan,25286,99.12,29916.4
2023,JAKARTA SELATAN,KEBAYORAN LAMA,GROGOL UTARA,Perempuan,26302,101.19,16023.8
2023,JAKARTA SELATAN,KEBAYORAN LAMA,GROGOL SELATAN,Perempuan,27413,101.4,19152.3
2023,JAKARTA SELATAN,KEBAYORAN LAMA,KEBAYORAN LAMA SELATAN,Perempuan,25666,99.51,24588.38
2023,JAKARTA SELATAN,CILANDAK,CILANDAK BARAT,Perempuan,31815,97.95,10678.67
2023,JAKARTA SELATAN,CILANDAK,LEBAK BULUS,Perempuan,24041,97.87,10882.64
